,Make,Model Family,Year,Price_USD_Thousands,Mileage,Listing Year,_make_model
0,FERRARI,360,2002,67.5,65000.0,2024,FERRARI_360
1,FERRARI,360,2001,70.053,22000.0,2024,FERRARI_360
2,FERRARI,360,2004,100.0,68000.0,2024,FERRARI_360
3,FERRARI,360,1999,72.6,21162.0,2024,FERRARI_360
4,FERRARI,360,2004,93.5,7017.0,2024,FERRARI_360
5,FERRARI,360,2003,69.0,29000.0,2024,FERRARI_360
6,FERRARI,360,2004,66.58227848101266,27583.0,2024,FERRARI_360
7,FERRARI,360,2002,160.0,6000.0,2024,FERRARI_360
8,FERRARI,360,2004,105.0,48000.0,2024,FERRARI_360
9,FERRARI,360,2003,101.0,29000.0,2024,FERRARI_360
10,FERRARI,360,2002,64.56962025316456,43106.0,2024,FERRARI_360
11,FERRARI,360,2001,67.09113924050632,37833.0,2024,FERRARI_360
12,FERRARI,360,2004,122.5,28000.0,2024,FERRARI_360
13,FERRARI,360,2004,218.5,13369.0,2024,FERRARI_360
14,FERRARI,360,2004,71.0,22000.0,2024,FERRARI_360
15,FERRARI,360,2003,79.0,32596.0,2024,FERRARI_360
16,FERRARI,360,2004,313.0,9507.0,2024,FERRARI_360
17,FERRARI,360,2004,290.0,8200.0,2024,FERRARI_360
18,FERRARI,360,2000,123.456,23000.0,2024,FERRARI_360
19,FERRARI,360,2003,81.501,21000.0,2024,FERRARI_360
20,FERRARI,360,2001,67.09113924050632,37833.0,2024,FERRARI_360
21,FERRARI,360,2002,120.0,6000.0,2024,FERRARI_360
22,FERRARI,360,2001,95.5784946236559,23301.0,2024,FERRARI_360
23,FERRARI,360,2001,155.0,8000.0,2024,FERRARI_360
24,FERRARI,360,2001,67.09113924050632,26800.0,2024,FERRARI_360
25,FERRARI,360,2002,70.0,42000.0,2024,FERRARI_360
26,FERRARI,360,2004,92.74193548387098,35296.0,2024,FERRARI_360
27,FERRARI,360,2005,90.2,20746.0,2024,FERRARI_360
29,FERRARI,360,2004,134.95,13522.0,2024,FERRARI_360
30,FERRARI,360,2001,71.5,28808.0,2024,FERRARI_360
31,FERRARI,360,1999,87.0,28711.0,2024,FERRARI_360
32,FERRARI,360,2001,110.0,34183.0,2024,FERRARI_360
33,FERRARI,360,2005,140.0,32000.0,2024,FERRARI_360
34,FERRARI,360,2003,105.91397849462365,17891.0,2024,FERRARI_360
35,FERRARI,360,2001,117.5,6008.0,2024,FERRARI_360
36,FERRARI,360,2003,139.995,24994.0,2024,FERRARI_360
37,FERRARI,360,2001,75.0,20000.0,2023,FERRARI_360
38,FERRARI,360,2002,169.0,1596.0,2023,FERRARI_360
39,FERRARI,360,2002,77.21518987341773,4971.0,2023,FERRARI_360
40,FERRARI,360,2003,187.09677419354836,17767.0,2023,FERRARI_360
41,FERRARI,360,1999,90.0,18000.0,2023,FERRARI_360
42,FERRARI,360,2002,87.0,53000.0,2023,FERRARI_360
43,FERRARI,360,2001,83.98692810457516,12241.0,2023,FERRARI_360
44,FERRARI,360,2002,72.505,20000.0,2023,FERRARI_360
45,FERRARI,360,2003,144.458,15000.0,2023,FERRARI_360
47,FERRARI,360,2004,152.0,10000.0,2023,FERRARI_360
48,FERRARI,360,2000,105.0,19000.0,2023,FERRARI_360
49,FERRARI,360,2001,107.0,18641.0,2023,FERRARI_360
50,FERRARI,360,2003,81.0,25000.0,2023,FERRARI_360
51,FERRARI,360,1999,79.5,29200.0,2023,FERRARI_360
52,FERRARI,360,2003,110.36,17000.0,2023,FERRARI_360
53,FERRARI,360,2004,152.0,17000.0,2024,FERRARI_360
54,FERRARI,360,2001,58.95913978494623,28469.0,2023,FERRARI_360
55,FERRARI,360,2002,88.60759493670886,56738.0,2023,FERRARI_360
56,FERRARI,360,2001,71.0,36000.0,2023,FERRARI_360
57,FERRARI,360,2003,153.0,5600.0,2023,FERRARI_360
58,FERRARI,360,2001,56.962025316455694,20230.0,2023,FERRARI_360
